0,10,20,30,40,50,60,70,80,90,100
136,0.0015755,0.0055335,0.015845,0.027225,0.059391,0.084031,0.13628,0.22533,0.31532,0.39171
137,0.0015264,0.0055174,0.013407,0.026493,0.05521,0.083586,0.13582,0.21668,0.29201,0.38831
138,0.0015091,0.0047472,0.013357,0.025875,0.05008,0.082034,0.13537,0.19181,0.27754,0.38664
139,0.0013765,0.0047439,0.011597,0.025713,0.044365,0.074705,0.12513,0.18554,0.27104,0.3848
140,0.0012864,0.0046995,0.011244,0.021821,0.042968,0.073153,0.12382,0.17849,0.26843,0.36654
141,0.0011374,0.0045066,0.010628,0.020456,0.04202,0.066387,0.12185,0.17228,0.25046,0.36162
142,0.0010921,0.0044956,0.010583,0.020376,0.041758,0.065374,0.11894,0.16341,0.23156,0.30897
143,0.0010468,0.0041512,0.0097582,0.019743,0.037586,0.062504,0.11304,0.15801,0.22933,0.28747
144,0.0010365,0.0039235,0.0093818,0.018693,0.036402,0.061035,0.11023,0.15334,0.22098,0.28591
145,0.00098295,0.0038114,0.009181,0.018112,0.035828,0.060666,0.10425,0.15005,0.20656,0.27783
146,0.00098207,0.0034222,0.0087433,0.018083,0.03469,0.053537,0.083271,0.14066,0.20577,0.2718
147,0.0009149,0.0033067,0.0086011,0.017509,0.028796,0.051536,0.077798,0.13325,0.19074,0.26033
148,0.00077513,0.0031908,0.007965,0.0159,0.025058,0.047588,0.077594,0.11148,0.19006,0.2601
149,0.0007552,0.0029634,0.0074145,0.015259,0.025022,0.045173,0.077295,0.1011,0.17843,0.25596
150,0.00061742,0.0027526,0.0072253,0.015136,0.024776,0.038467,0.07277,0.1003,0.16179,0.25088
151,0.00059891,0.0027156,0.0069045,0.015003,0.023969,0.037942,0.070485,0.098932,0.15719,0.22095
152,0.00056658,0.0025256,0.006073,0.014567,0.023908,0.034343,0.061545,0.098803,0.14782,0.21106
153,0.00049188,0.0023874,0.0059808,0.012894,0.02312,0.032848,0.052141,0.087787,0.1438,0.19403
154,0.00035073,0.0023015,0.0045466,0.010278,0.020403,0.030023,0.052006,0.07354,0.10719,0.17931
155,0.00033209,0.0022998,0.0043911,0.0099944,0.017568,0.027966,0.045225,0.068995,0.10515,0.16424
156,0.00030896,0.0017503,0.0039016,0.0098107,0.016007,0.027205,0.044762,0.065834,0.10146,0.16189
157,0.00024431,0.0016296,0.0035079,0.0078558,0.015486,0.02186,0.037582,0.063872,0.10021,0.15645
158,0.00023295,0.0013479,0.0033867,0.006788,0.014108,0.021678,0.035711,0.059787,0.096282,0.14948
159,0.00022203,0.001307,0.0033202,0.0066022,0.013994,0.021344,0.03517,0.05606,0.091328,0.14844
160,0.00014706,0.00096092,0.0026379,0.0060313,0.010771,0.020698,0.034618,0.054101,0.083388,0.13243
161,0.00013865,0.00094557,0.0024865,0.0043813,0.010153,0.019231,0.030869,0.05145,0.082199,0.11286
162,0.00013426,0.00081462,0.0021911,0.004303,0.00971,0.018518,0.028867,0.045369,0.075763,0.10604
163,0.00011513,0.00075324,0.0019441,0.0041737,0.0082716,0.016608,0.025893,0.036754,0.0669,0.098777
164,9.5789e-05,0.00067127,0.0016652,0.0039994,0.0061503,0.014782,0.02305,0.028802,0.047498,0.067834
165,5.5137e-05,0.0006115,0.0014012,0.0039879,0.0058374,0.0079926,0.014913,0.02529,0.044792,0.065061
166,5.2815e-05,0.00051586,0.00089589,0.0022021,0.0042199,0.0075136,0.014358,0.021459,0.041893,0.05438
