0,20,40,60,80,100,120,140,160,180,200
196,0.021074,0.021332,0.021542,0.022427,0.023182,0.022979,0.029218,0.036811,0.042007,0.55359
197,0.021048,0.021296,0.021402,0.022333,0.023141,0.022823,0.028683,0.036767,0.041659,0.47952
198,0.020768,0.02101,0.021357,0.022259,0.022942,0.022806,0.027913,0.036533,0.040342,0.4404
199,0.020622,0.020876,0.021262,0.021974,0.022477,0.022704,0.027787,0.036503,0.039289,0.36233
200,0.020549,0.020708,0.020768,0.021914,0.022314,0.02248,0.027241,0.036427,0.039257,0.2599
201,0.020206,0.020494,0.020751,0.021676,0.0222,0.02242,0.026951,0.035901,0.038409,0.084819
202,0.020105,0.020473,0.020744,0.021481,0.022152,0.021938,0.026863,0.035499,0.038069,0.079612
203,0.020099,0.020339,0.020686,0.02137,0.022043,0.021676,0.026856,0.03515,0.037855,0.062043
204,0.020015,0.020313,0.020668,0.021342,0.022039,0.02151,0.026844,0.03505,0.035893,0.056141
205,0.01999,0.020236,0.020505,0.021053,0.021519,0.021298,0.026666,0.03442,0.03483,0.052919
206,0.019886,0.020172,0.020437,0.020924,0.021467,0.021194,0.026266,0.033184,0.032895,0.052515
207,0.019836,0.020147,0.020401,0.02086,0.021293,0.021181,0.026264,0.032737,0.030312,0.051995
208,0.019734,0.020031,0.020045,0.020724,0.02116,0.021155,0.025726,0.032427,0.03026,0.050872
209,0.019675,0.019922,0.019932,0.020642,0.021146,0.020975,0.025682,0.032409,0.029307,0.045913
210,0.01942,0.019661,0.019861,0.020553,0.020979,0.020938,0.025506,0.032273,0.029281,0.044885
211,0.019288,0.019521,0.019704,0.020515,0.020903,0.020763,0.025103,0.031897,0.029273,0.042853
212,0.019125,0.01932,0.019622,0.020303,0.020791,0.020658,0.024997,0.031793,0.028997,0.042715
213,0.019081,0.019184,0.01958,0.020241,0.020766,0.020604,0.024806,0.03129,0.028958,0.041448
214,0.018977,0.019163,0.019545,0.020159,0.02075,0.020572,0.024772,0.030935,0.028078,0.039071
215,0.01871,0.019095,0.019393,0.020129,0.020721,0.020451,0.024708,0.030909,0.027769,0.038146
216,0.018619,0.019034,0.019376,0.019928,0.020574,0.020241,0.024644,0.030308,0.027726,0.03811
217,0.018572,0.018961,0.01932,0.019912,0.020519,0.02019,0.024406,0.030263,0.027683,0.037285
218,0.01854,0.018847,0.019219,0.019708,0.020504,0.019859,0.024015,0.030037,0.027678,0.036498
219,0.01841,0.018746,0.018983,0.019638,0.020386,0.019769,0.023628,0.029852,0.027018,0.036304
220,0.018109,0.018566,0.018964,0.019443,0.020174,0.019726,0.023603,0.029825,0.026982,0.035239
221,0.017857,0.018519,0.018878,0.019429,0.020067,0.019483,0.023541,0.029823,0.0267,0.035187
222,0.017825,0.018432,0.018861,0.019186,0.019819,0.019388,0.022933,0.0294,0.026647,0.034785
223,0.017761,0.018413,0.018831,0.019124,0.019724,0.019305,0.022725,0.028858,0.026027,0.034579
224,0.017665,0.018261,0.018662,0.019085,0.019683,0.019233,0.022637,0.028765,0.025731,0.034329
225,0.017643,0.017843,0.018267,0.018942,0.019612,0.019129,0.022602,0.028695,0.025611,0.032338
226,0.017526,0.017816,0.018147,0.018823,0.019555,0.01908,0.022454,0.027962,0.025271,0.030865
